dataset,p,component_1,component_2
IWN,2,0.09077911,0.90922089
IWN,2,0.04470607,0.95529393
IWN,2,0.05410249,0.94589751
IWN,2,0.11443679,0.88556321
IWN,2,0.04649061,0.95350939
IWN,2,0.05982961,0.94017039
IWN,2,0.04464114,0.95535886
IWN,2,0.04624433,0.95375567
IWN,2,0.04757716,0.95242284
IWN,2,0.17450460,0.82549540
IWN,2,0.06905428,0.93094572
IWN,2,0.04615347,0.95384653
IWN,2,0.06198989,0.93801011
IWN,2,0.05109938,0.94890062
IWN,2,0.16980762,0.83019238
IWN,2,0.05869540,0.94130460
IWN,2,0.12999128,0.87000872
IWN,2,0.04567733,0.95432267
IWN,2,0.04797240,0.95202760
IWN,2,0.04563012,0.95436988
IWN,2,0.20225618,0.79774382
IWN,2,0.10954459,0.89045541
IWN,2,0.07013336,0.92986664
IWN,2,0.05234796,0.94765204
IWN,2,0.05646994,0.94353006
IWN,2,0.04480438,0.95519562
IWN,2,0.07321364,0.92678636
IWN,2,0.64630008,0.35369992
IWN,2,0.10801693,0.89198307
IWN,2,0.09888971,0.90111029
IWN,2,0.04901067,0.95098933
IWN,2,0.04959573,0.95040427
IWN,2,0.04907041,0.95092959
IWN,2,0.08678118,0.91321882
IWN,2,0.07738472,0.92261528
IWN,2,0.05236552,0.94763448
IWN,2,0.04696061,0.95303939
IWN,2,0.05843779,0.94156221
IWN,2,0.09114459,0.90885541
IWN,2,0.21377309,0.78622691
IWN,2,0.05030793,0.94969207
IWN,2,0.04462883,0.95537117
IWN,2,0.04756312,0.95243688
IWN,2,0.05184895,0.94815105
IWN,2,0.04502121,0.95497879
IWN,2,0.15179691,0.84820309
IWN,2,0.05534682,0.94465318
IWN,2,0.20203364,0.79796636
IWN,2,0.04462713,0.95537287
IWN,2,0.09069368,0.90930632
IWN,2,0.04633974,0.95366026
IWN,2,0.17073602,0.82926398
IWN,2,0.09813997,0.90186003
IWN,2,0.04990874,0.95009126
IWN,2,0.04463860,0.95536140
IWN,2,0.04546575,0.95453425
IWN,2,0.04471836,0.95528164
IWN,2,0.04741737,0.95258263
IWN,2,0.10804970,0.89195030
IWN,2,0.04660939,0.95339061
IWN,2,0.05418302,0.94581698
IWN,2,0.04675056,0.95324944
IWN,2,0.05105835,0.94894165
IWN,2,0.04951398,0.95048602
IWN,2,0.05636771,0.94363229
IWN,2,0.04465541,0.95534459
IWN,2,0.07457615,0.92542385
IWN,2,0.04455797,0.95544203
IWN,2,0.13400172,0.86599828
IWN,2,0.04746527,0.95253473
IWN,2,0.04456622,0.95543378
IWN,2,0.04529117,0.95470883
IWN,2,0.04886662,0.95113338
IWN,2,0.04517496,0.95482504
IWN,2,0.05855030,0.94144970
IWN,2,0.05129212,0.94870788
IWN,2,0.07674687,0.92325313
IWN,2,0.31235807,0.68764193
IWN,2,0.04984809,0.95015191
IWN,2,0.06575094,0.93424906
IWN,2,0.05955069,0.94044931
IWN,2,0.12283765,0.87716235
IWN,2,0.04458417,0.95541583
IWN,2,0.05720691,0.94279309
IWN,2,0.04470263,0.95529737
IWN,2,0.04591943,0.95408057
IWN,2,0.07031227,0.92968773
IWN,2,0.04492955,0.95507045
IWN,2,0.11005545,0.88994455
IWN,2,0.21404266,0.78595734
IWN,2,0.04750332,0.95249668
IWN,2,0.22563886,0.77436114
IWN,2,0.04552198,0.95447802
IWN,2,0.11843565,0.88156435
IWN,2,0.04467486,0.95532514
