dataset,p,component_1,component_2
DIA,2,0.16140151,0.83859849
DIA,2,0.12619795,0.87380205
DIA,2,0.99709842,0.00290158
DIA,2,0.06606747,0.93393253
DIA,2,0.06110357,0.93889643
DIA,2,0.07398599,0.92601401
DIA,2,0.05669178,0.94330822
DIA,2,0.05837027,0.94162973
DIA,2,0.38135955,0.61864045
DIA,2,0.10345592,0.89654408
DIA,2,0.11964549,0.88035451
DIA,2,0.05779253,0.94220747
DIA,2,0.77162121,0.22837879
DIA,2,0.05627045,0.94372955
DIA,2,0.06557783,0.93442217
DIA,2,0.05613641,0.94386359
DIA,2,0.11811766,0.88188234
DIA,2,0.05893984,0.94106016
DIA,2,0.09438336,0.90561664
DIA,2,0.09263072,0.90736928
DIA,2,0.10104351,0.89895649
DIA,2,0.11057030,0.88942970
DIA,2,0.06841931,0.93158069
DIA,2,0.09510641,0.90489359
DIA,2,0.05827785,0.94172215
DIA,2,0.05709102,0.94290898
DIA,2,0.08875812,0.91124188
DIA,2,0.12315756,0.87684244
DIA,2,0.11009985,0.88990015
DIA,2,0.06809520,0.93190480
DIA,2,0.05856083,0.94143917
DIA,2,0.06068557,0.93931443
DIA,2,0.06089924,0.93910076
DIA,2,0.06559046,0.93440954
DIA,2,0.28881989,0.71118011
DIA,2,0.18839041,0.81160959
DIA,2,0.09701228,0.90298772
DIA,2,0.47363826,0.52636174
DIA,2,0.05749071,0.94250929
DIA,2,0.86230349,0.13769651
DIA,2,0.53282168,0.46717832
DIA,2,1.00000000,0.00000000
DIA,2,0.99996538,0.00003462
DIA,2,0.06747970,0.93252030
DIA,2,0.37108393,0.62891607
DIA,2,0.07976841,0.92023159
DIA,2,0.99501265,0.00498735
DIA,2,0.06531310,0.93468690
DIA,2,0.05625986,0.94374014
DIA,2,0.05671132,0.94328868
DIA,2,0.20859520,0.79140480
DIA,2,0.06746635,0.93253365
DIA,2,0.05620304,0.94379696
DIA,2,0.68986592,0.31013408
DIA,2,0.11739948,0.88260052
DIA,2,0.16831919,0.83168081
DIA,2,0.41712517,0.58287483
DIA,2,0.06715177,0.93284823
DIA,2,0.10524250,0.89475750
DIA,2,0.22548815,0.77451185
DIA,2,0.09156309,0.90843691
DIA,2,0.22552250,0.77447750
DIA,2,0.06385175,0.93614825
DIA,2,0.05694105,0.94305895
DIA,2,0.06159724,0.93840276
DIA,2,0.88447011,0.11552989
DIA,2,0.05930915,0.94069085
DIA,2,0.05737479,0.94262521
DIA,2,0.05865629,0.94134371
DIA,2,0.17393378,0.82606622
DIA,2,0.06240308,0.93759692
DIA,2,0.09087538,0.90912462
DIA,2,0.11054909,0.88945091
DIA,2,0.39938012,0.60061988
DIA,2,0.05938411,0.94061589
DIA,2,0.13003560,0.86996440
DIA,2,0.08759227,0.91240773
DIA,2,0.05755361,0.94244639
DIA,2,0.23934280,0.76065720
DIA,2,0.18356030,0.81643970
DIA,2,0.08292660,0.91707340
DIA,2,0.31562244,0.68437756
DIA,2,0.07068094,0.92931906
DIA,2,0.05816523,0.94183477
DIA,2,0.26626269,0.73373731
DIA,2,0.38658817,0.61341183
DIA,2,0.05613997,0.94386003
DIA,2,0.08225453,0.91774547
DIA,2,0.05853538,0.94146462
DIA,2,0.10396438,0.89603562
